,Spec,Sens,FP,FN
res_cb_0.5,1,0,0,1
res_cb_0.2,0.9375,0,0.0625,1
res_cb_0.7,1,0,0,1
res_bm,0.0625,1,0.9375,0
res_cb_0.51,1,0,0,1
res_cb_0.21,1,0.25,0,0.75
res_cb_0.71,1,0,0,1
res_bm1,0,1,1,0
res_cb_0.52,1,0,0,1
res_cb_0.22,0.9375,0,0.0625,1
res_cb_0.72,1,0,0,1
res_bm2,0.0625,0.75,0.9375,0.25
res_cb_0.53,1,0,0,1
res_cb_0.23,0.875,0.25,0.125,0.75
res_cb_0.73,1,0,0,1
res_bm3,0.1875,1,0.8125,0
res_cb_0.54,1,0,0,1
res_cb_0.24,1,0,0,1
res_cb_0.74,1,0,0,1
res_bm4,0.1875,1,0.8125,0
res_cb_0.55,0.8125,0,0.1875,1
res_cb_0.25,0.8125,0.25,0.1875,0.75
res_cb_0.75,1,0,0,1
res_bm5,0,1,1,0
res_cb_0.56,0.875,0,0.125,1
res_cb_0.26,0.875,0,0.125,1
res_cb_0.76,1,0,0,1
res_bm6,0.0625,1,0.9375,0
res_cb_0.57,0.9375,0,0.0625,1
res_cb_0.27,0.875,0,0.125,1
res_cb_0.77,1,0,0,1
res_bm7,0.0625,1,0.9375,0
res_cb_0.58,1,0,0,1
res_cb_0.28,0.9375,0,0.0625,1
res_cb_0.78,1,0,0,1
res_bm8,0.0625,1,0.9375,0
res_cb_0.59,0.9375,0,0.0625,1
res_cb_0.29,0.8125,0.25,0.1875,0.75
res_cb_0.79,1,0,0,1
res_bm9,0,1,1,0
res_cb_0.510,0.9375,0,0.0625,1
res_cb_0.210,0.875,0,0.125,1
res_cb_0.710,1,0,0,1
res_bm10,0.125,1,0.875,0
res_cb_0.511,1,0,0,1
res_cb_0.211,1,0.25,0,0.75
res_cb_0.711,1,0,0,1
res_bm11,0,1,1,0
res_cb_0.512,1,0,0,1
res_cb_0.212,1,0,0,1
res_cb_0.712,1,0,0,1
res_bm12,0,1,1,0
res_cb_0.513,1,0,0,1
res_cb_0.213,0.9375,0,0.0625,1
res_cb_0.713,1,0,0,1
res_bm13,0.0625,1,0.9375,0
res_cb_0.514,1,0,0,1
res_cb_0.214,1,0,0,1
res_cb_0.714,1,0,0,1
res_bm14,0,1,1,0
res_cb_0.515,1,0,0,1
res_cb_0.215,0.9375,0.25,0.0625,0.75
res_cb_0.715,1,0,0,1
res_bm15,0.1875,1,0.8125,0
res_cb_0.516,1,0,0,1
res_cb_0.216,1,0.25,0,0.75
res_cb_0.716,1,0,0,1
res_bm16,0.0625,1,0.9375,0
res_cb_0.517,0.9375,0,0.0625,1
res_cb_0.217,0.8125,0,0.1875,1
res_cb_0.717,1,0,0,1
res_bm17,0.125,0.5,0.875,0.5
res_cb_0.518,1,0,0,1
res_cb_0.218,0.9375,0.25,0.0625,0.75
res_cb_0.718,1,0,0,1
res_bm18,0.0625,1,0.9375,0
res_cb_0.519,1,0.25,0,0.75
res_cb_0.219,0.875,0.25,0.125,0.75
res_cb_0.719,1,0,0,1
res_bm19,0.125,1,0.875,0
