TP,TN,FP,FN,Sensitivity,Specificity,MCC,Coefficient_Bias
8,9,1,2,0.8,0.9,0.7035264706814485,4.066134433177892
8,9,1,2,0.8,0.9,0.7035264706814485,3.942701493788629
4,9,1,6,0.4,0.9,0.34641016151377546,4.4225713494909895
4,8,2,6,0.4,0.8,0.2182178902359924,4.32677146244376
4,9,1,6,0.4,0.9,0.34641016151377546,4.396885260798086
4,8,2,6,0.4,0.8,0.2182178902359924,4.302165977532044
4,7,3,6,0.4,0.7,0.10482848367219183,4.27643368182683
7,7,3,3,0.7,0.7,0.4,4.125939689049676
9,7,3,1,0.9,0.7,0.6123724356957946,3.5126714895507134
9,7,3,1,0.9,0.7,0.6123724356957946,3.464227454658145
7,8,2,3,0.7,0.8,0.502518907629606,4.310362268638303
5,9,1,5,0.5,0.9,0.4364357804719848,4.289543620243752
7,8,2,3,0.7,0.8,0.502518907629606,4.310367558999973
5,9,1,5,0.5,0.9,0.4364357804719848,4.289558265905074
7,5,5,3,0.7,0.5,0.2041241452319315,4.260162134026554
6,9,1,4,0.6,0.9,0.5241424183609591,4.247504962962091
8,8,2,2,0.8,0.8,0.6,3.9748743976467926
8,8,2,2,0.8,0.8,0.6,3.9372868635635254
6,8,2,4,0.6,0.8,0.408248290463863,4.277072789147724
9,6,4,1,0.9,0.6,0.5241424183609591,4.232951193459041
5,8,2,5,0.5,0.8,0.3144854510165755,4.35295673167525
4,8,2,6,0.4,0.8,0.2182178902359924,4.30848771169413
5,9,1,5,0.5,0.9,0.4364357804719848,4.395270409117171
3,9,1,7,0.3,0.9,0.25,4.3324723395682625
6,9,1,4,0.6,0.9,0.5241424183609591,3.7943870958328265
6,9,1,4,0.6,0.9,0.5241424183609591,3.843314653073981
6,6,4,4,0.6,0.6,0.2,4.18239232097459
7,6,4,3,0.7,0.6,0.30151134457776363,4.213962324755728
3,9,1,7,0.3,0.9,0.25,4.350395415919975
4,9,1,6,0.4,0.9,0.34641016151377546,4.366942774220864
6,6,4,4,0.6,0.6,0.2,4.203591045530907
5,6,4,5,0.5,0.6,0.10050378152592121,4.2320390044147365
8,8,2,2,0.8,0.8,0.6,3.9748743976467926
8,8,2,2,0.8,0.8,0.6,3.9372868635635254
6,8,2,4,0.6,0.8,0.408248290463863,4.277072789147724
9,6,4,1,0.9,0.6,0.5241424183609591,4.232951193459041
5,8,2,5,0.5,0.8,0.3144854510165755,4.35295673167525
4,8,2,6,0.4,0.8,0.2182178902359924,4.30848771169413
5,9,1,5,0.5,0.9,0.4364357804719848,4.395270409117171
3,9,1,7,0.3,0.9,0.25,4.3324723395682625
6,9,1,4,0.6,0.9,0.5241424183609591,3.7943870958328265
6,9,1,4,0.6,0.9,0.5241424183609591,3.843314653073981
6,6,4,4,0.6,0.6,0.2,4.18239232097459
7,6,4,3,0.7,0.6,0.30151134457776363,4.213962324755728
3,9,1,7,0.3,0.9,0.25,4.350395415919975
4,9,1,6,0.4,0.9,0.34641016151377546,4.366942774220864
6,6,4,4,0.6,0.6,0.2,4.203591045530907
5,6,4,5,0.5,0.6,0.10050378152592121,4.2320390044147365
8,8,2,2,0.8,0.8,0.6,3.9748743976467926
8,8,2,2,0.8,0.8,0.6,3.9372868635635254
6,8,2,4,0.6,0.8,0.408248290463863,4.277072789147724
9,6,4,1,0.9,0.6,0.5241424183609591,4.232951193459041
5,8,2,5,0.5,0.8,0.3144854510165755,4.35295673167525
4,8,2,6,0.4,0.8,0.2182178902359924,4.30848771169413
5,9,1,5,0.5,0.9,0.4364357804719848,4.395270409117171
3,9,1,7,0.3,0.9,0.25,4.3324723395682625
6,9,1,4,0.6,0.9,0.5241424183609591,3.7943870958328265
6,9,1,4,0.6,0.9,0.5241424183609591,3.843314653073981
6,6,4,4,0.6,0.6,0.2,4.18239232097459
7,6,4,3,0.7,0.6,0.30151134457776363,4.213962324755728
3,9,1,7,0.3,0.9,0.25,4.350395415919975
4,9,1,6,0.4,0.9,0.34641016151377546,4.366942774220864
6,6,4,4,0.6,0.6,0.2,4.203591045530907
5,6,4,5,0.5,0.6,0.10050378152592121,4.2320390044147365
8,8,2,2,0.8,0.8,0.6,3.9748743976467926
8,8,2,2,0.8,0.8,0.6,3.9372868635635254
6,8,2,4,0.6,0.8,0.408248290463863,4.277072789147724
9,6,4,1,0.9,0.6,0.5241424183609591,4.232951193459041
5,8,2,5,0.5,0.8,0.3144854510165755,4.35295673167525
4,8,2,6,0.4,0.8,0.2182178902359924,4.30848771169413
5,9,1,5,0.5,0.9,0.4364357804719848,4.395270409117171
3,9,1,7,0.3,0.9,0.25,4.3324723395682625
6,9,1,4,0.6,0.9,0.5241424183609591,3.7943870958328265
6,9,1,4,0.6,0.9,0.5241424183609591,3.843314653073981
6,6,4,4,0.6,0.6,0.2,4.18239232097459
7,6,4,3,0.7,0.6,0.30151134457776363,4.213962324755728
3,9,1,7,0.3,0.9,0.25,4.350395415919975
4,9,1,6,0.4,0.9,0.34641016151377546,4.366942774220864
6,6,4,4,0.6,0.6,0.2,4.203591045530907
5,6,4,5,0.5,0.6,0.10050378152592121,4.2320390044147365
8,8,2,2,0.8,0.8,0.6,3.9748743976467926
8,8,2,2,0.8,0.8,0.6,3.9372868635635254
6,8,2,4,0.6,0.8,0.408248290463863,4.277072789147724
9,6,4,1,0.9,0.6,0.5241424183609591,4.232951193459041
5,8,2,5,0.5,0.8,0.3144854510165755,4.35295673167525
4,8,2,6,0.4,0.8,0.2182178902359924,4.30848771169413
5,9,1,5,0.5,0.9,0.4364357804719848,4.395270409117171
3,9,1,7,0.3,0.9,0.25,4.3324723395682625
6,9,1,4,0.6,0.9,0.5241424183609591,3.7943870958328265
6,9,1,4,0.6,0.9,0.5241424183609591,3.843314653073981
6,6,4,4,0.6,0.6,0.2,4.18239232097459
7,6,4,3,0.7,0.6,0.30151134457776363,4.213962324755728
3,9,1,7,0.3,0.9,0.25,4.350395415919975
4,9,1,6,0.4,0.9,0.34641016151377546,4.366942774220864
6,6,4,4,0.6,0.6,0.2,4.203591045530907
5,6,4,5,0.5,0.6,0.10050378152592121,4.2320390044147365
8,8,2,2,0.8,0.8,0.6,3.9748743976467926
8,8,2,2,0.8,0.8,0.6,3.9372868635635254
