TP,TN,FP,FN,Sensitivity,Specificity,MCC,Coefficient_Bias
10,6,4,0,1,0.6,0.6546536707079772,11.210336805346994
10,7,3,0,1,0.7,0.7337993857053428,0.10564891901761161
10,7,3,0,1,0.7,0.7337993857053428,11.18675119922057
9,7,3,1,0.9,0.7,0.6123724356957946,0.38344412427042435
10,10,0,0,1,1,1,11.851903472116433
4,10,0,6,0.4,1,0.5,0.46151420638284213
9,10,0,1,0.9,1,0.9045340337332909,11.914776591801708
4,10,0,6,0.4,1,0.5,0.46613011085250894
9,10,0,1,0.9,1,0.9045340337332909,11.914779017640287
4,10,0,6,0.4,1,0.5,0.4661413483224769
8,6,4,2,0.8,0.6,0.408248290463863,11.195111997702671
10,4,6,0,1,0.4,0.5,0.07742268148028006
8,5,5,2,0.8,0.5,0.3144854510165755,11.6553109332435
10,9,1,0,1,0.9,0.9045340337332909,0.3552330239065978
8,8,2,2,0.8,0.8,0.6,11.828381017636906
10,10,0,0,1,1,1,0.39078362987676085
2,10,0,8,0.2,1,0.3333333333333333,12.370245986115556
0,10,0,10,0,1,NA,0.5
8,6,4,2,0.8,0.6,0.408248290463863,11.686507962440697
10,9,1,0,1,0.9,0.9045340337332909,0.3615235248932463
9,4,6,1,0.9,0.4,0.34641016151377546,11.01807890491094
10,2,8,0,1,0.2,0.3333333333333333,0.0756064605106976
10,7,3,0,1,0.7,0.7337993857053428,11.138395033734945
10,7,3,0,1,0.7,0.7337993857053428,0.39287647956958166
10,9,1,0,1,0.9,0.9045340337332909,11.70636397106152
4,10,0,6,0.4,1,0.5,0.4654306384985321
10,9,1,0,1,0.9,0.9045340337332909,11.706423299157247
4,10,0,6,0.4,1,0.5,0.4654210758749434
10,5,5,0,1,0.5,0.5773502691896257,10.983372788638178
10,3,7,0,1,0.3,0.420084025208403,0.36882679296598475
8,9,1,2,0.8,0.9,0.7035264706814485,11.626451665492697
10,3,7,0,1,0.3,0.420084025208403,0.0862099389817242
10,7,3,0,1,0.7,0.7337993857053428,11.448078810442237
9,8,2,1,0.9,0.8,0.7035264706814485,0.34965106498946297
9,8,2,1,0.9,0.8,0.7035264706814485,11.72889368172547
9,9,1,1,0.9,0.9,0.8,0.392133534655177
7,8,2,3,0.7,0.8,0.502518907629606,11.787833890589335
9,9,1,1,0.9,0.9,0.8,0.4048743423724668
10,8,2,0,1,0.8,0.816496580927726,11.56500893393303
9,9,1,1,0.9,0.9,0.8,0.365560120191717
9,8,2,1,0.9,0.8,0.7035264706814485,11.482513652548366
10,4,6,0,1,0.4,0.5,0.06945615910680064
10,9,1,0,1,0.9,0.9045340337332909,11.209216369812502
10,8,2,0,1,0.8,0.816496580927726,0.34357586043583177
9,10,0,1,0.9,1,0.9045340337332909,11.660518354300052
9,9,1,1,0.9,0.9,0.8,0.41491290479123866
10,9,1,0,1,0.9,0.9045340337332909,11.209493198599866
10,8,2,0,1,0.8,0.816496580927726,0.34356118470088337
10,9,1,0,1,0.9,0.9045340337332909,11.31826959781908
10,9,1,0,1,0.9,0.9045340337332909,0.35843793679773045
9,5,5,1,0.9,0.5,0.4364357804719848,11.008146703685924
9,5,5,1,0.9,0.5,0.4364357804719848,0.18226069598449282
10,4,6,0,1,0.4,0.5,11.428942443175417
9,4,6,1,0.9,0.4,0.34641016151377546,0.3194525243928729
8,10,0,2,0.8,1,0.816496580927726,12.065932031285431
7,8,2,3,0.7,0.8,0.502518907629606,0.39956245446495114
8,10,0,2,0.8,1,0.816496580927726,11.973431543996853
9,7,3,1,0.9,0.7,0.6123724356957946,0.3867259728169238
8,10,0,2,0.8,1,0.816496580927726,12.066002364116567
7,8,2,3,0.7,0.8,0.502518907629606,0.3995542750859196
8,8,2,2,0.8,0.8,0.6,11.332983491009347
10,10,0,0,1,1,1,0.12209210103705789
10,7,3,0,1,0.7,0.7337993857053428,11.059059693141524
10,6,4,0,1,0.6,0.6546536707079772,0.3464488291993718
10,7,3,0,1,0.7,0.7337993857053428,11.082671180438433
10,6,4,0,1,0.6,0.6546536707079772,0.34984621809012706
10,8,2,0,1,0.8,0.816496580927726,11.16562092842857
9,7,3,1,0.9,0.7,0.6123724356957946,0.3616773147391655
10,8,2,0,1,0.8,0.816496580927726,11.165349517013368
9,7,3,1,0.9,0.7,0.6123724356957946,0.3617094861698005
8,9,1,2,0.8,0.9,0.7035264706814485,11.626451665492697
10,3,7,0,1,0.3,0.420084025208403,0.0862099389817242
10,7,3,0,1,0.7,0.7337993857053428,11.448078810442237
9,8,2,1,0.9,0.8,0.7035264706814485,0.34965106498946297
9,8,2,1,0.9,0.8,0.7035264706814485,11.72889368172547
9,9,1,1,0.9,0.9,0.8,0.392133534655177
7,8,2,3,0.7,0.8,0.502518907629606,11.787833890589335
9,9,1,1,0.9,0.9,0.8,0.4048743423724668
10,8,2,0,1,0.8,0.816496580927726,11.56500893393303
9,9,1,1,0.9,0.9,0.8,0.365560120191717
9,8,2,1,0.9,0.8,0.7035264706814485,11.482513652548366
10,4,6,0,1,0.4,0.5,0.06945615910680064
10,9,1,0,1,0.9,0.9045340337332909,11.209216369812502
10,8,2,0,1,0.8,0.816496580927726,0.34357586043583177
9,10,0,1,0.9,1,0.9045340337332909,11.660518354300052
9,9,1,1,0.9,0.9,0.8,0.41491290479123866
10,9,1,0,1,0.9,0.9045340337332909,11.209493198599866
10,8,2,0,1,0.8,0.816496580927726,0.34356118470088337
10,9,1,0,1,0.9,0.9045340337332909,11.31826959781908
10,9,1,0,1,0.9,0.9045340337332909,0.35843793679773045
9,5,5,1,0.9,0.5,0.4364357804719848,11.008146703685924
9,5,5,1,0.9,0.5,0.4364357804719848,0.18226069598449282
10,4,6,0,1,0.4,0.5,11.428942443175417
9,4,6,1,0.9,0.4,0.34641016151377546,0.3194525243928729
8,10,0,2,0.8,1,0.816496580927726,12.065932031285431
7,8,2,3,0.7,0.8,0.502518907629606,0.39956245446495114
8,10,0,2,0.8,1,0.816496580927726,11.973431543996853
9,7,3,1,0.9,0.7,0.6123724356957946,0.3867259728169238
8,10,0,2,0.8,1,0.816496580927726,12.066002364116567
7,8,2,3,0.7,0.8,0.502518907629606,0.3995542750859196
8,8,2,2,0.8,0.8,0.6,11.332983491009347
10,10,0,0,1,1,1,0.12209210103705789
10,7,3,0,1,0.7,0.7337993857053428,11.059059693141524
10,6,4,0,1,0.6,0.6546536707079772,0.3464488291993718
10,7,3,0,1,0.7,0.7337993857053428,11.082671180438433
10,6,4,0,1,0.6,0.6546536707079772,0.34984621809012706
10,8,2,0,1,0.8,0.816496580927726,11.16562092842857
9,7,3,1,0.9,0.7,0.6123724356957946,0.3616773147391655
10,8,2,0,1,0.8,0.816496580927726,11.165349517013368
9,7,3,1,0.9,0.7,0.6123724356957946,0.3617094861698005
8,9,1,2,0.8,0.9,0.7035264706814485,11.626451665492697
10,3,7,0,1,0.3,0.420084025208403,0.0862099389817242
10,7,3,0,1,0.7,0.7337993857053428,11.448078810442237
9,8,2,1,0.9,0.8,0.7035264706814485,0.34965106498946297
9,8,2,1,0.9,0.8,0.7035264706814485,11.72889368172547
9,9,1,1,0.9,0.9,0.8,0.392133534655177
7,8,2,3,0.7,0.8,0.502518907629606,11.787833890589335
9,9,1,1,0.9,0.9,0.8,0.4048743423724668
10,8,2,0,1,0.8,0.816496580927726,11.56500893393303
9,9,1,1,0.9,0.9,0.8,0.365560120191717
9,8,2,1,0.9,0.8,0.7035264706814485,11.482513652548366
