TP,TN,FP,FN,Sensitivity,Specificity,MCC,Coefficient_Bias
7,7,3,3,0.7,0.7,0.4,11.359094212387522
10,5,5,0,1,0.5,0.5773502691896257,0.02731619162212423
10,8,2,0,1,0.8,0.816496580927726,11.31639928384786
10,6,4,0,1,0.6,0.6546536707079772,0.33955924206362736
8,10,0,2,0.8,1,0.816496580927726,11.905230690691932
7,10,0,3,0.7,1,0.7337993857053428,0.41517129969668487
8,10,0,2,0.8,1,0.816496580927726,11.905213774007487
7,10,0,3,0.7,1,0.7337993857053428,0.41517973135255726
10,7,3,0,1,0.7,0.7337993857053428,11.289569079013651
10,6,4,0,1,0.6,0.6546536707079772,0.3359209340564375
9,3,7,1,0.9,0.3,0.25,11.364244122884763
10,5,5,0,1,0.5,0.5773502691896257,0.08381009801402095
10,5,5,0,1,0.5,0.5773502691896257,11.13958141855609
9,6,4,1,0.9,0.6,0.5241424183609591,0.34224314186356214
10,8,2,0,1,0.8,0.816496580927726,11.24190647335731
9,8,2,1,0.9,0.8,0.7035264706814485,0.35495130625142995
10,6,4,0,1,0.6,0.6546536707079772,11.171894023803512
9,7,3,1,0.9,0.7,0.6123724356957946,0.346148244463237
10,8,2,0,1,0.8,0.816496580927726,11.24142225743749
9,8,2,1,0.9,0.8,0.7035264706814485,0.3550016804275848
8,9,1,2,0.8,0.9,0.7035264706814485,11.379664989483663
10,4,6,0,1,0.4,0.5,0.053815094277046935
10,8,2,0,1,0.8,0.816496580927726,11.403457934498906
9,8,2,1,0.9,0.8,0.7035264706814485,0.3778279210533986
3,10,0,7,0.3,1,0.420084025208403,12.371992939850944
2,10,0,8,0.2,1,0.3333333333333333,0.4965196714205692
7,10,0,3,0.7,1,0.7337993857053428,12.071015251267134
4,10,0,6,0.4,1,0.5,0.4581189396485089
10,8,2,0,1,0.8,0.816496580927726,11.538523639918443
8,9,1,2,0.8,0.9,0.7035264706814485,0.3958747196104574
9,9,1,1,0.9,0.9,0.8,11.244382991487058
10,4,6,0,1,0.4,0.5,0.11099136825361844
10,3,7,0,1,0.3,0.420084025208403,11.032757161920888
10,6,4,0,1,0.6,0.6546536707079772,0.3384703639105233
9,9,1,1,0.9,0.9,0.8,11.613571852704048
8,10,0,2,0.8,1,0.816496580927726,0.4157251802719612
10,7,3,0,1,0.7,0.7337993857053428,11.306196116537588
9,10,0,1,0.9,1,0.9045340337332909,0.3761339240170927
10,3,7,0,1,0.3,0.420084025208403,11.058143568017408
10,7,3,0,1,0.7,0.7337993857053428,0.3420070690579261
8,7,3,2,0.8,0.7,0.502518907629606,11.446222753356796
10,1,9,0,1,0.1,0.22941573387056174,0.0893556793475673
9,5,5,1,0.9,0.5,0.4364357804719848,11.426547774507732
9,3,7,1,0.9,0.3,0.25,0.3405152398981592
9,7,3,1,0.9,0.7,0.6123724356957946,11.616550293488107
9,9,1,1,0.9,0.9,0.8,0.3703286477227521
9,7,3,1,0.9,0.7,0.6123724356957946,11.651730319365557
9,10,0,1,0.9,1,0.9045340337332909,0.3759092596824144
9,6,4,1,0.9,0.6,0.5241424183609591,11.583925796654906
9,9,1,1,0.9,0.9,0.8,0.36504865794333974
8,6,4,2,0.8,0.6,0.408248290463863,11.285178299911248
10,2,8,0,1,0.2,0.3333333333333333,0.09141788576609684
10,6,4,0,1,0.6,0.6546536707079772,11.08686574685011
10,5,5,0,1,0.5,0.5773502691896257,0.4057838416372809
10,10,0,0,1,1,1,11.466787555126382
6,9,1,4,0.6,0.9,0.5241424183609591,0.4562702976734073
10,10,0,0,1,1,1,11.576633424088463
6,9,1,4,0.6,0.9,0.5241424183609591,0.46645900930817413
10,10,0,0,1,1,1,11.632834764133941
6,9,1,4,0.6,0.9,0.5241424183609591,0.47188146261705777
10,5,5,0,1,0.5,0.5773502691896257,10.841582388200738
10,3,7,0,1,0.3,0.420084025208403,0.12456012398947205
10,6,4,0,1,0.6,0.6546536707079772,11.450751865418054
10,7,3,0,1,0.7,0.7337993857053428,0.36358538654926936
7,9,1,3,0.7,0.9,0.6123724356957946,11.92831747227266
6,10,0,4,0.6,1,0.6546536707079772,0.43272559784722076
7,9,1,3,0.7,0.9,0.6123724356957946,11.887615348754107
6,10,0,4,0.6,1,0.6546536707079772,0.42684287299656737
8,8,2,2,0.8,0.8,0.6,11.809729043367861
7,10,0,3,0.7,1,0.7337993857053428,0.4144453462393505
7,10,0,3,0.7,1,0.7337993857053428,11.756370163664819
10,6,4,0,1,0.6,0.6546536707079772,0.13514901415302819
10,8,2,0,1,0.8,0.816496580927726,11.242534425895744
10,5,5,0,1,0.5,0.5773502691896257,0.3653507441675645
10,8,2,0,1,0.8,0.816496580927726,11.148862328524014
10,3,7,0,1,0.3,0.420084025208403,0.35055296087350823
6,10,0,4,0.6,1,0.6546536707079772,12.045119244947411
3,10,0,7,0.3,1,0.420084025208403,0.49212348810293194
10,8,2,0,1,0.8,0.816496580927726,11.178107714229775
10,3,7,0,1,0.3,0.420084025208403,0.3550416142627179
9,9,1,1,0.9,0.9,0.8,11.424761236670488
9,4,6,1,0.9,0.4,0.34641016151377546,0.20181922715970796
