TP,TN,FP,FN,Sensitivity,Specificity,MCC,Coefficient_Bias
8,9,1,2,0.8,0.9,0.7035264706814485,11.836160613505367
10,6,4,0,1,0.6,0.6546536707079772,0.16542141011767333
10,5,5,0,1,0.5,0.5773502691896257,11.206779001382099
10,3,7,0,1,0.3,0.420084025208403,0.3368920323235547
10,7,3,0,1,0.7,0.7337993857053428,11.31430609648625
10,4,6,0,1,0.4,0.5,0.3518340285609387
10,6,4,0,1,0.6,0.6546536707079772,11.250606595927513
10,3,7,0,1,0.3,0.420084025208403,0.342862968312049
10,9,1,0,1,0.9,0.9045340337332909,11.425000666938214
10,8,2,0,1,0.8,0.816496580927726,0.3680263961065038
