"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"2.7e-06",3554.64583945455,3345.19958975867,3264.24081026765,3637.3123818343,3092.38052202074,3729.45999384794,3714.76149707995,3648.75010384274,3484.70933639702,3628.43058360861
"2.9632e-06",3316.9270463961,3594.78155492599,3341.1229884878,3627.12515096762,3503.92874594369,3604.5670992093,3631.24333336969,3633.74546642903,3342.74447840254,3577.05555026142
"3.2522e-06",3725.10333720614,3341.48224225155,3353.94382653104,3722.81290116359,3586.43314942874,3597.38464596652,3734.23620809567,3411.96474360234,3319.27853690507,4055.33549490519
"3.5692e-06",3844.62880736285,3225.03643725499,3300.55276556722,3669.28430588806,3402.24418077422,3591.41307641573,3394.67162928904,3664.06381161586,3628.71644368664,3789.28207019033
"3.9172e-06",3544.87651763535,3283.2767533797,3299.02147046762,3752.22563222199,3375.07717979065,3731.8548150023,3644.52969910265,3689.77416031804,3482.5606009409,3600.30801133518
"4.2992e-06",3935.2997689159,3312.61038886192,3443.49289907093,3734.33347067772,3647.36207292301,3683.28112601593,3875.00531676965,3755.74991720223,3743.86945907123,3728.61261573705
"4.7183e-06",3527.68537557284,3606.146876471,3469.32837424816,3639.30791603672,3070.63154726305,3614.80548826865,3906.40919026437,3403.68664795827,3707.81850426615,3842.11840348658
"5.1784e-06",3717.50743903982,3370.49539455336,3651.16382292307,3540.87299914842,3335.52491568924,3553.96580564359,3993.29433907223,3411.27941588775,3548.13698464933,3917.69893311741
"5.6832e-06",3698.68629641391,3388.31838639535,3615.07607328985,3474.8321556483,3414.24828647237,3791.90750697994,3704.82424710828,3659.28986221361,3322.53083294771,3535.17939694577
"6.2374e-06",3590.24164544661,3616.5873570384,3591.18469022122,3624.21924208993,3395.14044683119,3577.27616814322,3625.06459777772,3603.58109629506,3558.28678028644,3892.56555579005
"6.8455e-06",3623.47697450356,3393.64980248736,3584.54546934388,3546.67483623607,3553.49577183747,3505.3635398451,3643.30630978448,3288.22141323334,3082.53258369044,3659.79082374109
"7.5129e-06",3949.95669737189,3584.47625549789,3437.16499016281,3421.41139955646,3256.89447325452,3739.76082732841,4129.04595610309,3145.15172349922,3496.00615164988,3925.07270892203
"8.2454e-06",3560.18275923214,3561.41299689994,3324.72690218544,3404.5330788134,3519.17904144925,3622.06648467411,3696.74946442729,3635.98847948791,3504.64975731858,3523.63621808465
"9.0493e-06",3753.26141506412,3555.73256474926,3678.2632461194,3517.70862666336,3551.14619641135,3928.0924797155,4036.87816032908,3774.0633727877,3623.49248557564,4011.83493228925
"9.9316e-06",3376.88392077045,3468.21320939738,3265.79870484299,3553.02047106936,3271.66315403377,3796.99309704737,4048.19670547838,3620.97703934446,3672.08465599109,3723.92373787018
"1.08999e-05",3908.27123356709,3289.73318027816,3550.38058675612,3586.70458891458,3338.86777374511,3602.02321515563,3886.68367530627,3763.30164897911,3215.32157271212,4088.35190646279
"1.19627e-05",3769.2917735994,3312.77018951575,3552.55798344533,3774.9311784981,3517.14868467285,3586.41718798512,3399.70459019869,3451.49280499659,3850.80306804721,3935.26488227508
