"","V1","V2","V3","V4","V5"
"2.5e-06",9519.43452729695,7940.03405322437,7346.83742229304,8097.45389346027,9716.0258855848
"2.7437e-06",8947.92032650765,8197.83425780828,7640.15985276221,7883.2498895348,7619.33736232744
"3.0113e-06",8607.14801405723,8284.62758961763,8527.00488941196,7767.66038468419,8889.976605624
"3.3049e-06",7918.78119285164,7448.61002638142,8183.46902032197,8513.69304802117,9611.53120364122
"3.6271e-06",9450.69847689456,7894.71989148736,7076.8794590491,8597.84620400796,8348.98316562532
"3.9807e-06",9142.42687570222,7541.98308704383,7031.22490944555,8424.46988908433,8486.53670296837
"4.3688e-06",8171.83306414718,7690.06750460003,8703.07512152957,7495.26307299038,9625.62128385929
"4.7948e-06",8933.43758358362,7297.57718952768,7198.15004252935,8927.6906566986,9351.57784215513
"5.2623e-06",9158.34848258134,7493.85658773617,8239.17098445114,8191.41366721291,8255.74521799553
"5.7753e-06",9365.03606663821,7981.70911956695,8358.5731752466,8826.81683028902,9015.03952556618
"6.3384e-06",9287.86276784898,8628.43934673069,8780.8863097519,7658.89701212431,9158.66774370202
"6.9564e-06",8651.19360994719,6889.19573075077,8543.32126609543,7799.86518297641,8517.8441630062
"7.6346e-06",8742.35584440536,9171.81488644205,7841.14144018774,8310.9041649611,7780.38156264967
"8.379e-06",8541.99127561143,8047.12621059632,8576.84851331937,8617.94138759232,7972.18178018322
"9.1959e-06",9614.41060966413,6940.962155727,7882.89018257449,8113.28258000177,7484.12214454037
"1.00925e-05",8194.80052892454,8086.12180325362,6804.21985375664,8340.63449293183,8645.05186178961
"1.10766e-05",8366.95274229521,7643.56976033488,7979.70921325932,8486.2338206892,8903.0287935666
"1.21565e-05",8663.92777284077,7698.03328473886,6713.67221687046,8456.0895247172,8015.85663331953
"1.33417e-05",8418.07303330506,8081.51503258787,6754.90018544779,8188.18646522945,8310.571951474
"1.46426e-05",8932.3746215917,7301.88999831174,6517.24108287137,7464.69188616643,8497.73622540742
"1.60702e-05",8691.3834009763,7427.56428893304,7219.045275955,8106.98531618779,7881.99916157568
"1.7637e-05",9195.18948629646,7928.4913616692,8311.1813601591,7654.93020382571,9703.17533453886
"1.93566e-05",8679.62932220259,6796.01159707322,7778.15657895155,8841.13636486718,8501.0962720523
"2.12438e-05",9798.43913200027,8025.40491551394,7989.16564592979,7609.7449403509,8176.09409447732
"2.33151e-05",9175.83478778812,7423.89630141827,9231.36237761827,8299.32336409913,8719.12865705009
"2.55883e-05",8746.98285991508,9061.1971312718,7682.91334911327,8770.67788447664,9426.53061577337
"2.80831e-05",8904.22244155236,7782.55727596472,7292.66959516259,8180.28052815046,8581.72794341673
"3.08212e-05",9384.78072470785,8245.25111116642,7754.92835025734,7697.2865905391,7399.39251712847
"3.38262e-05",9472.71497738276,7558.60480279427,7469.79138959437,7768.47856806115,9430.02473154077
"3.71242e-05",8103.20721765062,8133.50173322287,7960.28940106859,7460.23201790209,8360.89414574908
"4.07438e-05",8865.94252591206,8023.74441811234,7993.82750917111,9070.99202317934,9082.73099729559
"4.47162e-05",8703.06749346482,9333.11666569882,8199.91017763076,8199.86515458062,9038.00324702261
"4.9076e-05",8587.32443965263,7620.26506929419,7190.27482960176,8428.55118113019,9211.41980465924
"5.38609e-05",8886.02368856698,6790.6320946337,9573.67662207521,8921.91974274126,9788.4737514564
"5.91122e-05",8409.65958973211,7769.27570012549,7887.83479800686,8849.21669048989,9038.25624363284
"6.48756e-05",9054.98193194728,7538.55526789143,8705.1890169036,8676.57809949558,9777.54205699473
"7.12009e-05",7475.45997306663,8200.10289388883,7350.55346729356,9198.18155260281,8999.20951927394
"7.81429e-05",10296.9943215699,7725.60989474434,8579.5375919443,8804.40336254583,8862.9297318744
"8.57617e-05",8730.34105661603,7794.92192269098,8177.50309580247,8112.69627512641,8700.29444247939
"9.41234e-05",8608.87706326669,8707.54033328828,8257.90689834208,8489.75831504852,7983.40816031692
"0.0001033003",9317.07783753882,8248.63821800671,7890.88696437897,8514.06500578212,8742.93600114826
"0.000113372",9029.68058624095,8694.36836426243,7555.37354911424,8333.03850800923,9839.85904155862
"0.0001244256",8622.68809084759,7493.60938445994,9315.64479565393,9344.85633256237,8162.03274898377
"0.0001365569",9742.397486377,7252.40636629359,8209.95861522249,8113.22208688015,9400.0710366972
"0.0001498711",8463.99050008903,8835.44047261785,8604.86522011928,7807.78774605863,8117.35104483648
"0.0001644833",8415.31086854693,8271.03237287788,9162.57369408813,8276.02953322967,9865.00894178245
"0.0001805202",9177.04793937187,6725.2842489741,7563.61955016589,7457.3738074354,10326.4299488002
"0.0001981207",9368.87497237296,8208.71329647503,7559.91386841233,9147.77057742219,8682.0721828109
"0.0002174373",9634.5691323121,7775.21808663114,7330.82661350936,8643.29040075211,9078.89943848749
"0.0002386371",9440.93670275822,7155.39880292501,7932.56867055393,8500.04667364906,9552.50950647444
"0.0002619039",8380.85449770853,9511.20090738013,9281.86907163645,8347.51610754848,9051.5770806942
"0.0002874392",9441.09489043845,7886.73662149433,7493.32978103855,7882.68565432438,7874.92006916781
"0.0003154642",9405.40948229963,7343.41138427653,7587.63046659176,8915.04024238192,9810.03313907955
"0.0003462216",9456.68070060775,7283.2390556329,7706.17299082371,8394.85711760096,10231.4936140343
"0.0003799778",8710.38746191514,8354.89963176555,8326.02777731823,9115.66891476233,8347.45807290386
"0.0004170251",9320.05975037376,6643.82209847657,8533.51155615977,9096.09998104072,9126.60129580303
"0.0004576846",8617.73245702239,7550.31358274491,7235.23300092291,9297.64492193451,8342.36441494441
"0.0005023083",9549.9461929321,8071.81422283164,7686.79330628353,7725.64921879687,9429.14208148686
"0.0005512827",9400.58562237924,6912.82219861141,7496.66544653098,8804.99086922171,9577.54073640187
"0.0006050321",9698.64105916413,7285.65945382071,8056.21199512214,7657.48770936621,9046.74282520543
"0.0006640219",8859.67981085864,6838.56739543129,8358.50655011435,8053.53758434859,8906.63777982015
"0.0007287633",9436.06783404578,7004.20323197029,7704.79563039964,7785.30555947693,9437.86316248206
"0.0007998168",9538.8124253713,8367.85682497581,7548.8202028798,8247.3513087339,8727.54309659939
"0.0008777979",8834.6461070195,6223.80933798717,7801.46067953307,9145.72464510745,9373.8534146435
"0.0009633821",8494.16031202043,7680.76749269154,8819.68599994224,8094.94258623894,8424.19318968811
"0.0010573107",9528.79723059055,6712.2349845049,8817.50178485958,8929.43990468736,10012.1060713084
"0.0011603972",8498.76261462869,7544.15284487046,8880.15162614314,8739.92082885673,8414.85927430421
"0.0012735345",8405.07440300703,7829.82688041398,9002.60745338382,7950.92975161759,8283.22772398556
"0.0013977025",9655.89245109175,8539.34012009115,7638.7950678608,6992.19751185818,7867.34328895067
"0.0015339768",8715.75039944458,9508.74048437494,8958.06228603864,8414.47172374205,9194.4647255999
"0.0016835377",8204.65455641404,8505.64551164773,7728.92629555938,7468.39174993531,9163.55183029089
"0.0018476805",8637.64527860731,8193.24067392826,8685.4567288012,7738.91138166488,8788.36847886286
"0.0020278271",7850.55666854704,8541.52566529215,9055.06699686839,7728.74222225406,8317.07884565502
"0.0022255377",9052.25299309063,7649.97380705956,8113.32594632592,8822.54210751665,8111.82810211813
"0.0024425249",9498.6330574479,7435.62432957234,7976.12226386993,8125.78096459958,9690.66042886153
"0.0026806681",8810.37008469864,8013.36353339528,8704.24898255255,8902.44885432737,8579.18050853778
"0.0029420299",8505.79441075407,7976.33141722695,7706.84291493077,6558.69837866317,8462.60264143209
"0.0032288742",8025.11640255894,7605.39143515093,7456.09215374834,7550.50797642672,8331.89946134157
"0.0035436854",8371.7193152475,8332.32243021146,8273.83139472434,7877.86114866424,8363.65771157715
"0.0038891904",9029.08369385547,7938.82893146954,7353.89495402908,8261.74590915783,9046.07087659238
"0.0042683816",8237.65380331521,7458.87091541398,7557.46353752119,8877.25215656603,8459.36301223525
"0.0046845436",8460.75713495695,7474.14357180259,8328.99939614273,8330.25218117738,9689.75937355193
"0.0051412808",8504.11050026408,8196.03356272966,7651.15088796152,8681.19071423766,8941.25117340428
"0.0056425493",8289.69507435523,8598.89931288951,8282.27475881297,8839.49224795447,8113.49938661999
"0.0061926909",8756.70819372823,8222.78096604374,7861.53320902799,7892.65728801534,8957.91254840175
"0.0067964706",8118.65117672906,7092.71176070886,8839.6217722111,9127.09619803974,8558.8162855611
"0.0074591181",7834.98656894942,6782.92721581114,7994.29246405693,7890.3238771959,8797.80209093087
"0.0081863729",8415.78112987848,8656.97114445236,7430.13780732641,8125.12748405124,8489.39737187673
"0.0089845342",8601.3041888259,8112.34027340573,9457.51583412315,8157.05034519831,9462.05037969531
"0.0098605151",8885.28173495444,7456.4413510868,7445.19763687737,8268.25782862955,7731.21271723162
"0.0108219032",7795.52853768711,7607.15934921432,7449.33100825968,8645.16155567191,8846.40109161325
"0.0118770254",9339.93260158373,7208.766349439,7746.93877339766,8581.29399048007,9313.02424736411
"0.0130350207",8375.86565499663,8036.26373168751,8339.31929540216,7768.06278152618,7749.30879394449
"0.0143059191",8498.84002618738,7816.28256283922,8311.72597996944,7676.89802620333,8105.44809583474
"0.0157007286",7812.34877958211,7924.12671207585,8783.16860809921,8244.05839030621,7702.13660862493
"0.0172315303",6818.08439543325,7525.63413728575,7858.92089359219,8392.93337216384,7344.48773847184
"0.0189115832",6763.27666450581,6992.77497461351,8239.8916700552,6211.30368177943,7159.50321998126
"0.0207554392",6361.9562517307,7266.28079560658,6776.60856134595,6355.37234149392,7311.95183203997
"0.0227790689",6343.36544452976,6658.90602402838,6847.31176964483,6460.98080423285,7329.90369027225
"0.025",6227.6046761256,6595.10951982082,6653.84400649234,6594.49837115334,7148.21922091501
