"","Model","Sensitivity","Specificity","MCC","Coefficient_Bias"
"1","casebase.relaxed.lasso.lambda.min_cause1","1","0","NaN","0.0357907155587267"
"2","casebase.relaxed.lasso.lambda.min_cause2","1","0","NaN","0.0363366402942699"
"3","casebase.post.lasso.lambda.min_cause1","0.7","1","0.733799385705343","0.0119394871204165"
"4","casebase.post.lasso.lambda.min_cause2","0.7","1","0.733799385705343","0.0118606614711446"
"5","casebase.lambda.min_cause1","0.7","1","0.733799385705343","0.021085360266274"
"6","casebase.lambda.min_cause2","0.7","1","0.733799385705343","0.0218312380271071"
"7","cox.lambda.min_cause1","1","0.5","0.577350269189626","0.00690164752902419"
"8","cox.lambda.min_cause2","1","0.3","0.420084025208403","0.0032061800149937"
"9","pencr.lambda.mincause1","1","0.3","0.420084025208403","0.102748487388769"
"10","pencr.lambda.mincause2","1","0.9","0.904534033733291","0.0124720651075824"
"11","cens.prop","0","0","0","0.135"
